Date,Activity,Activity type,Unit,Amount executed
2025-04-28,Coat preparation,Road,L,2148.6423117713075
2025-01-21,Ballast,Railway,m3,3017.312078922087
2025-10-07,Removing trees,Building,m2,4163.254509290561
2025-03-02,Pavement,Road,m2,4861.855107487955
2025-01-19,Subbase application,Road,m2,1231.1473752395834
2025-01-11,Pavement,Road,m2,3968.03815553866
2025-04-25,Iron mining,Railway,m3,4250.403525928069
2025-06-29,Subbase application,Road,m2,64.34421372273513
2025-10-05,Coat preparation,Road,L,948.5669090114674
2025-02-13,Pavement,Road,m2,2586.7448540075034
2025-08-15,Cement making,Building,m3,1445.416145735941
2025-10-21,Terrain leveling,Building,m3,3728.2578447793185
2025-04-20,Ballast,Railway,m3,4135.5910702417295
2025-04-02,Anchorage,Railway,m2,3587.4597075857846
2025-05-08,Foundation pouring,Building,m3,1825.5854373221775
2025-12-23,Subbase application,Road,m2,1719.5647481525446
2025-09-09,Laying steel rail,Railway,m,1083.3224655925717
2025-06-05,Iron mining,Railway,m3,2798.0892616538854
2025-03-18,Rolling/Tractor,Road,m2,1935.4891993501737
2025-04-12,Iron mining,Railway,m3,3801.713545746699
2025-08-05,Anchorage,Railway,m2,4484.467413648405
2025-07-06,Iron mining,Railway,m3,2404.6123429660483
2025-08-01,Ballast,Railway,m3,4928.893249905973
2025-05-22,Walling,Building,m2,2558.512754848809
2025-11-20,Walling,Building,m2,434.78359475125126
2025-01-07,Ballast,Railway,m3,1584.6825372188632
2025-04-05,Subbase application,Road,m2,4502.368031211863
2025-08-14,Coat preparation,Road,L,4151.961265749845
2025-06-28,Terrain leveling,Building,m3,1951.2032906852612
2025-04-07,Anchorage,Railway,m2,1995.2093462097753
2025-03-12,Subbase application,Road,m2,2556.137050375446
2025-09-30,Foundation pouring,Building,m3,4053.915067861614
2025-07-15,Laying steel rail,Railway,m,221.9325420625934
2025-12-11,Pavement,Road,m2,1294.306281352543
2025-07-03,Terrain leveling,Building,m3,506.9309908722186
2025-05-27,Removing trees,Building,m2,2965.6702661690215
2025-01-02,Subbase application,Road,m2,4277.461585913067
2025-05-22,Anchorage,Railway,m2,4562.566193112092
2025-05-24,Rolling/Tractor,Road,m2,2385.627833233226
2025-06-19,Anchorage,Railway,m2,683.4897508854732
2025-02-22,Cement making,Building,m3,1963.802833229712
2025-12-22,Subbase application,Road,m2,3141.9445931399755
2025-04-15,Walling,Building,m2,279.2208167435145
2025-12-29,Laying steel rail,Railway,m,3680.7932286164446
2025-03-09,Laying steel rail,Railway,m,4010.4071546752825
2025-06-08,Pavement,Road,m2,3032.600075993135
2025-02-12,Removing trees,Building,m2,4322.160635923082
2025-07-21,Rolling/Tractor,Road,m2,659.1786455361154
2025-03-31,Laying steel rail,Railway,m,3615.090507776903
2025-04-16,Pavement,Road,m2,578.8629272498769
2025-06-18,Iron mining,Railway,m3,306.3779661002375
2025-05-19,Iron mining,Railway,m3,4270.63757178385
2025-09-03,Anchorage,Railway,m2,1316.9372937207463
2025-10-30,Ballast,Railway,m3,1735.0735482030877
2025-02-13,Coat preparation,Road,L,3062.29831080113
2025-02-21,Laying steel rail,Railway,m,1632.2695851248286
2025-10-09,Terrain leveling,Building,m3,3995.527943312513
2025-04-08,Walling,Building,m2,2730.3507635595392
2025-07-09,Pavement,Road,m2,3064.9227222059717
2025-01-10,Iron mining,Railway,m3,1142.5010746701569
2025-03-04,Foundation pouring,Building,m3,2620.972358280192
2025-04-22,Terrain leveling,Building,m3,4448.423187733959
2025-08-28,Ballast,Railway,m3,2239.549965377798
2025-12-20,Ballast,Railway,m3,3464.254449734635
2025-03-13,Coat preparation,Road,L,884.113505514757
2025-08-14,Terrain leveling,Building,m3,304.47358053810603
2025-01-31,Foundation pouring,Building,m3,2680.9794860139423
2025-09-22,Cement making,Building,m3,365.7126641415842
2025-01-14,Rolling/Tractor,Road,m2,1059.8977956591998
2025-10-20,Coat preparation,Road,L,2835.5200098792643
2025-12-09,Ballast,Railway,m3,3958.038716937481
2025-10-27,Laying steel rail,Railway,m,1403.265755256135
2025-09-18,Anchorage,Railway,m2,4399.29109718405
2025-04-17,Laying steel rail,Railway,m,2624.176066018153
2025-03-26,Cement making,Building,m3,852.0361569749441
2025-06-09,Removing trees,Building,m2,193.92535287913847
2025-07-24,Subbase application,Road,m2,1006.2543229604704
2025-08-17,Coat preparation,Road,L,4547.701970009981
2025-12-13,Foundation pouring,Building,m3,3773.25201065897
2025-01-22,Subbase application,Road,m2,4255.935232725375
2025-04-10,Foundation pouring,Building,m3,3536.1727297563757
2025-01-05,Subbase application,Road,m2,685.081423338399
2025-04-09,Walling,Building,m2,3713.8330907347513
2025-05-25,Pavement,Road,m2,96.50222291872845
2025-08-01,Pavement,Road,m2,150.76718372191266
2025-08-11,Coat preparation,Road,L,1524.4258452015024
2025-06-07,Coat preparation,Road,L,2428.4676944803764
2025-10-04,Walling,Building,m2,3394.518767002202
2025-01-13,Foundation pouring,Building,m3,4981.898823920594
2025-05-29,Foundation pouring,Building,m3,2391.3308299029623
2025-12-01,Foundation pouring,Building,m3,1585.9752460598986
2025-03-08,Iron mining,Railway,m3,2763.8406154465843
2025-06-16,Pavement,Road,m2,3892.810205255049
2025-07-10,Rolling/Tractor,Road,m2,265.8794690792937
2025-01-11,Laying steel rail,Railway,m,1905.4503291774238
2025-02-21,Anchorage,Railway,m2,4689.131262890182
2025-08-15,Cement making,Building,m3,4580.229399987145
2025-01-12,Laying steel rail,Railway,m,2371.8048141490367
2025-01-10,Removing trees,Building,m2,4779.861449980388
2025-06-18,Anchorage,Railway,m2,1801.4786630578
2025-08-01,Subbase application,Road,m2,3034.3974168624654
2025-01-19,Foundation pouring,Building,m3,2105.8994106967075
2025-12-13,Walling,Building,m2,4598.011560198189
2025-03-06,Rolling/Tractor,Road,m2,1704.935025425575
2025-05-15,Removing trees,Building,m2,3066.459337282
2025-09-15,Subbase application,Road,m2,29.073103912895526
2025-04-12,Walling,Building,m2,4902.523834694647
2025-07-31,Pavement,Road,m2,4077.8266056787525
2025-01-10,Anchorage,Railway,m2,2023.79619983239
2025-01-01,Terrain leveling,Building,m3,2762.5380892977973
2025-09-01,Anchorage,Railway,m2,667.027651365748
2025-09-04,Terrain leveling,Building,m3,4754.125259689338
2025-03-05,Laying steel rail,Railway,m,3943.7529121229795
2025-01-30,Rolling/Tractor,Road,m2,723.4143024041789
2025-07-23,Iron mining,Railway,m3,2339.9720830304777
2025-03-18,Coat preparation,Road,L,1940.3678086721816
2025-11-15,Cement making,Building,m3,1244.8558842290986
2025-08-24,Foundation pouring,Building,m3,1693.622472799261
2025-05-16,Ballast,Railway,m3,4885.508491279559
2025-03-19,Laying steel rail,Railway,m,1642.5572826980545
2025-11-27,Iron mining,Railway,m3,2621.9901603529756
2025-04-07,Removing trees,Building,m2,1244.250715432565
2025-11-04,Foundation pouring,Building,m3,1853.6353497427904
2025-09-22,Pavement,Road,m2,1765.1721850960016
2025-06-05,Terrain leveling,Building,m3,3098.1455771127285
2025-04-19,Anchorage,Railway,m2,3034.650624271426
2025-05-14,Foundation pouring,Building,m3,532.3113587915318
2025-08-20,Subbase application,Road,m2,2200.8578978877435
2025-05-24,Anchorage,Railway,m2,2190.2190446413542
2025-12-11,Coat preparation,Road,L,1971.3412879716075
2025-11-11,Walling,Building,m2,4473.496830717983
2025-02-14,Terrain leveling,Building,m3,1554.5673504165725
2025-04-25,Cement making,Building,m3,2869.994652919464
2025-07-06,Laying steel rail,Railway,m,1146.366865894999
2025-08-03,Laying steel rail,Railway,m,4143.094093663756
2025-02-14,Subbase application,Road,m2,4939.866009034196
2025-05-03,Rolling/Tractor,Road,m2,2443.8077979203435
2025-05-18,Pavement,Road,m2,4378.076148311598
2025-11-09,Terrain leveling,Building,m3,121.51328857223753
2025-06-18,Cement making,Building,m3,1547.8090568074915
2025-02-23,Walling,Building,m2,1635.529280853723
2025-08-07,Foundation pouring,Building,m3,49.36208544381704
2025-10-24,Walling,Building,m2,1177.0995804264394
2025-11-28,Iron mining,Railway,m3,420.24511038831537
2025-10-29,Coat preparation,Road,L,37.39026832769887
2025-01-31,Coat preparation,Road,L,3779.2179158075155
2025-03-19,Coat preparation,Road,L,1648.9139479200198
2025-04-23,Removing trees,Building,m2,3059.5967941281942
2025-05-06,Terrain leveling,Building,m3,4691.8006924504125
2025-04-10,Foundation pouring,Building,m3,2273.0412586219236
2025-05-24,Iron mining,Railway,m3,3908.3680914410525
2025-04-10,Cement making,Building,m3,2176.11217107654
2025-04-14,Cement making,Building,m3,3884.6984507579114
2025-04-02,Terrain leveling,Building,m3,3475.431594093275
2025-10-10,Cement making,Building,m3,2220.9733412271657
2025-08-02,Coat preparation,Road,L,2011.2774085650249
2025-03-06,Anchorage,Railway,m2,267.09591920275835
2025-08-05,Terrain leveling,Building,m3,3896.3025888897364
2025-06-24,Removing trees,Building,m2,4099.968167841453
2025-04-11,Ballast,Railway,m3,2282.5264818674314
2025-11-11,Anchorage,Railway,m2,1176.3767812797182
2025-02-05,Coat preparation,Road,L,2696.9481685154437
2025-02-08,Anchorage,Railway,m2,4232.850097086127
2025-10-23,Removing trees,Building,m2,4869.579087003269
2025-03-15,Iron mining,Railway,m3,4502.5275602305455
2025-08-14,Subbase application,Road,m2,3807.271120418595
2025-02-17,Ballast,Railway,m3,4269.842398093464
2025-06-09,Ballast,Railway,m3,4906.681454985459
2025-10-25,Rolling/Tractor,Road,m2,636.8698090718561
2025-09-05,Rolling/Tractor,Road,m2,1998.7055550498883
2025-01-08,Ballast,Railway,m3,4190.086959632916
2025-09-02,Removing trees,Building,m2,957.7229912082896
2025-08-12,Ballast,Railway,m3,4951.994390218469
2025-05-10,Terrain leveling,Building,m3,1459.4323806484465
2025-09-25,Foundation pouring,Building,m3,2606.859853179873
2025-05-12,Anchorage,Railway,m2,2432.6448449711256
2025-04-10,Pavement,Road,m2,891.4794240096485
2025-12-24,Ballast,Railway,m3,1009.3097470274221
2025-02-24,Ballast,Railway,m3,4237.364962265917
2025-05-06,Anchorage,Railway,m2,1353.752319433932
2025-03-27,Removing trees,Building,m2,1096.6079892420016
2025-12-05,Pavement,Road,m2,3651.5079022595787
2025-08-31,Coat preparation,Road,L,2845.670308805514
2025-11-05,Removing trees,Building,m2,4999.489077416868
2025-05-25,Anchorage,Railway,m2,3064.6841113711453
2025-03-14,Coat preparation,Road,L,4686.161036277731
2025-05-21,Cement making,Building,m3,2269.105815040275
2025-01-30,Laying steel rail,Railway,m,840.9251482137636
2025-02-04,Ballast,Railway,m3,1619.6776889982527
2025-02-08,Subbase application,Road,m2,2108.4172497105787
2025-01-26,Ballast,Railway,m3,1658.9535409984308
2025-03-11,Walling,Building,m2,542.657190830757
2025-12-23,Coat preparation,Road,L,2980.8133198044466
2025-07-24,Anchorage,Railway,m2,479.08819227054147
2025-05-27,Ballast,Railway,m3,3805.5160621974064
2025-12-02,Laying steel rail,Railway,m,625.0140729558962
2025-11-13,Foundation pouring,Building,m3,4438.348681783063
2025-07-09,Cement making,Building,m3,4890.670821592127
2025-03-19,Rolling/Tractor,Road,m2,2375.6569256037387
2025-07-22,Ballast,Railway,m3,3678.4067117568125
2025-11-04,Pavement,Road,m2,4588.172878544916
2025-03-08,Cement making,Building,m3,54.834693552353045
2025-08-31,Subbase application,Road,m2,67.66718096204438
2025-08-06,Walling,Building,m2,783.3558336001767
2025-08-21,Coat preparation,Road,L,1737.9869650892222
2025-04-22,Rolling/Tractor,Road,m2,909.5356325101112
2025-11-04,Walling,Building,m2,83.81600640357479
2025-09-20,Anchorage,Railway,m2,3021.1767821394233
2025-08-15,Terrain leveling,Building,m3,2477.7125011142393
2025-08-24,Subbase application,Road,m2,484.7411244034855
2025-08-16,Cement making,Building,m3,2935.20499180183
2025-11-30,Rolling/Tractor,Road,m2,2660.496067373977
2025-09-09,Rolling/Tractor,Road,m2,3505.404589809683
2025-12-16,Foundation pouring,Building,m3,3075.3195005876514
2025-06-01,Foundation pouring,Building,m3,4426.551076095256
2025-07-22,Terrain leveling,Building,m3,2773.720225761331
2025-11-02,Iron mining,Railway,m3,2617.3320192952096
2025-06-14,Cement making,Building,m3,1047.9668996911978
2025-12-10,Subbase application,Road,m2,3720.281694465125
2025-04-10,Iron mining,Railway,m3,2675.270698524734
2025-05-14,Cement making,Building,m3,4307.018102609643
2025-08-08,Coat preparation,Road,L,1856.1166266104983
2025-02-23,Iron mining,Railway,m3,2649.8338760674783
2025-12-14,Terrain leveling,Building,m3,679.8465805478504
2025-04-29,Iron mining,Railway,m3,1672.9168258206316
2025-06-09,Rolling/Tractor,Road,m2,3052.5948720500924
2025-01-04,Iron mining,Railway,m3,3941.305725384281
2025-01-09,Pavement,Road,m2,254.17048542288157
2025-03-01,Laying steel rail,Railway,m,4308.036295407515
2025-01-08,Coat preparation,Road,L,2274.3576439725
2025-04-20,Terrain leveling,Building,m3,1710.6181670118453
2025-03-25,Rolling/Tractor,Road,m2,679.6182678544965
2025-05-20,Walling,Building,m2,1537.1995048463532
2025-11-01,Removing trees,Building,m2,1326.9638842635907
2025-02-01,Laying steel rail,Railway,m,2530.1012233910183
2025-11-18,Walling,Building,m2,3855.8301976604175
2025-08-01,Rolling/Tractor,Road,m2,1778.7684016422033
2025-02-12,Terrain leveling,Building,m3,3618.5096958959025
2025-03-02,Coat preparation,Road,L,4503.927493998585
2025-01-20,Walling,Building,m2,4856.8438021152315
2025-04-04,Iron mining,Railway,m3,1937.538985463607
2025-08-15,Subbase application,Road,m2,2283.5711445970787
2025-10-22,Iron mining,Railway,m3,156.07293263051935
2025-08-12,Pavement,Road,m2,301.4872671581148
2025-06-20,Ballast,Railway,m3,584.1478464383276
2025-09-04,Ballast,Railway,m3,2397.268315231584
2025-07-08,Iron mining,Railway,m3,1517.4945313530957
2025-07-13,Walling,Building,m2,518.7130804420431
2025-10-18,Iron mining,Railway,m3,243.71274445742998
2025-03-17,Subbase application,Road,m2,4707.890270267466
2025-12-05,Laying steel rail,Railway,m,2600.968441379579
2025-07-31,Rolling/Tractor,Road,m2,3876.2534348162935
2025-10-04,Rolling/Tractor,Road,m2,2402.565484314546
2025-07-28,Walling,Building,m2,313.5856574856005
2025-09-06,Rolling/Tractor,Road,m2,472.54544272090135
2025-12-28,Cement making,Building,m3,4497.41615960855
2025-06-04,Foundation pouring,Building,m3,3846.813803348284
2025-09-22,Foundation pouring,Building,m3,674.446168994598
2025-06-18,Cement making,Building,m3,1367.8326543328444
2025-01-16,Foundation pouring,Building,m3,2916.0430073763464
2025-12-24,Laying steel rail,Railway,m,4670.105308131129
2025-10-05,Cement making,Building,m3,285.88002887389496
2025-05-27,Coat preparation,Road,L,2759.3228593466756
2025-07-02,Cement making,Building,m3,3013.591789354148
2025-09-15,Anchorage,Railway,m2,1730.348530211394
2025-06-22,Pavement,Road,m2,242.49353514184168
2025-09-03,Anchorage,Railway,m2,957.7478499257136
2025-03-09,Iron mining,Railway,m3,2845.002028338912
2025-11-13,Walling,Building,m2,1496.2768236922736
2025-10-19,Foundation pouring,Building,m3,4793.76794454319
2025-02-07,Anchorage,Railway,m2,1725.9412472310541
2025-04-15,Laying steel rail,Railway,m,1691.4481897755868
2025-03-25,Removing trees,Building,m2,3104.6275501044556
2025-02-28,Coat preparation,Road,L,4833.639944126765
2025-08-05,Walling,Building,m2,3497.95321442954
2025-04-22,Ballast,Railway,m3,878.2808227658923
2025-11-18,Coat preparation,Road,L,1047.3377069986495
2025-08-31,Walling,Building,m2,2075.6647390940957
2025-05-09,Removing trees,Building,m2,4129.168973996052
2025-07-10,Subbase application,Road,m2,1565.3990262341222
2025-07-13,Laying steel rail,Railway,m,2225.543353159544
2025-02-04,Anchorage,Railway,m2,443.75931578086056
2025-12-01,Cement making,Building,m3,2654.9375396638357
2025-08-20,Iron mining,Railway,m3,3854.995747181226
2025-08-19,Laying steel rail,Railway,m,4143.30060328955
2025-01-26,Subbase application,Road,m2,1955.596417407669
2025-07-15,Terrain leveling,Building,m3,2305.729989306029
2025-03-10,Ballast,Railway,m3,3168.060608570914
2025-04-13,Pavement,Road,m2,4768.829847149214
2025-07-02,Pavement,Road,m2,3091.5377361676005
2025-07-10,Coat preparation,Road,L,16.098491773382516
2025-09-04,Ballast,Railway,m3,1916.2215985692399
2025-05-16,Coat preparation,Road,L,64.71802014626216
2025-08-30,Walling,Building,m2,4326.566346472772
2025-01-14,Iron mining,Railway,m3,872.7197649511503
2025-11-23,Iron mining,Railway,m3,2039.4512936549563
2025-12-29,Walling,Building,m2,2380.8955436845663
2025-06-30,Iron mining,Railway,m3,155.99781831971637
2025-12-15,Laying steel rail,Railway,m,3373.5628457201037
2025-02-15,Rolling/Tractor,Road,m2,1992.8596568687196
2025-02-10,Coat preparation,Road,L,1815.3381679676388
2025-09-28,Ballast,Railway,m3,4567.821599630921
2025-06-28,Foundation pouring,Building,m3,3015.7278496467416
2025-12-24,Laying steel rail,Railway,m,247.23937882653536
2025-12-13,Terrain leveling,Building,m3,3277.326034637196
2025-06-29,Ballast,Railway,m3,2505.342138541772
2025-08-29,Subbase application,Road,m2,2593.761353707927
2025-09-07,Walling,Building,m2,1318.2260559640767
2025-01-12,Cement making,Building,m3,4336.726631412074
2025-05-04,Rolling/Tractor,Road,m2,1423.361101072766
2025-11-22,Laying steel rail,Railway,m,2673.262690483871
2025-03-13,Coat preparation,Road,L,4757.88154559469
2025-02-12,Pavement,Road,m2,3010.148304759582
2025-01-11,Subbase application,Road,m2,3569.462338520848
2025-09-14,Pavement,Road,m2,6.350742292429157
2025-05-14,Pavement,Road,m2,2430.201546016947
2025-03-15,Rolling/Tractor,Road,m2,420.94728391040894
2025-11-05,Iron mining,Railway,m3,4119.03071727902
2025-08-04,Removing trees,Building,m2,176.07096432583737
2025-10-12,Foundation pouring,Building,m3,4748.496613782631
2025-03-14,Anchorage,Railway,m2,774.9508607151989
2025-04-15,Laying steel rail,Railway,m,2758.4564788010875
2025-05-16,Ballast,Railway,m3,3496.07900233801
2025-01-25,Coat preparation,Road,L,2377.789316543451
2025-10-29,Anchorage,Railway,m2,317.39505641687873
2025-08-04,Subbase application,Road,m2,1745.548598079969
2025-06-21,Subbase application,Road,m2,149.94576723429742
2025-11-15,Removing trees,Building,m2,1199.3167772383356
2025-03-20,Subbase application,Road,m2,2878.954122390934
2025-11-04,Terrain leveling,Building,m3,1879.4978438507321
2025-11-05,Iron mining,Railway,m3,1731.1854607459943
2025-07-16,Coat preparation,Road,L,96.92205483916527
2025-07-04,Coat preparation,Road,L,2279.8769899877734
2025-11-30,Iron mining,Railway,m3,4184.804163139939
2025-11-15,Subbase application,Road,m2,1740.6174325887407
2025-05-11,Iron mining,Railway,m3,3356.5629812022844
2025-02-15,Walling,Building,m2,1241.123529334106
2025-05-14,Foundation pouring,Building,m3,4454.400056704489
2025-10-15,Rolling/Tractor,Road,m2,2211.9298237125445
2025-01-25,Cement making,Building,m3,2170.36472289251
2025-03-23,Terrain leveling,Building,m3,2550.0313893872067
2025-10-02,Laying steel rail,Railway,m,106.77474434600653
2025-01-23,Removing trees,Building,m2,2469.319947625625
2025-09-18,Foundation pouring,Building,m3,2905.584712551539
2025-06-05,Removing trees,Building,m2,1045.4205159918063
2025-04-15,Subbase application,Road,m2,4090.2216661569514
2025-09-04,Cement making,Building,m3,4072.8457410062274
2025-05-19,Laying steel rail,Railway,m,3436.5543391473234
2025-01-25,Laying steel rail,Railway,m,4523.1833327019
2025-09-25,Ballast,Railway,m3,3814.4041367241084
2025-03-07,Foundation pouring,Building,m3,3277.6290114879675
2025-07-08,Walling,Building,m2,2944.1108257592173
2025-10-22,Cement making,Building,m3,2918.28399485937
2025-09-25,Ballast,Railway,m3,4305.253835144122
2025-01-17,Ballast,Railway,m3,3822.310212550573
2025-09-13,Cement making,Building,m3,162.22119934565626
2025-11-27,Terrain leveling,Building,m3,3092.7266894405066
2025-04-21,Walling,Building,m2,3963.7856154986075
2025-03-05,Pavement,Road,m2,3570.161612520752
2025-07-07,Ballast,Railway,m3,95.45335216917694
2025-03-19,Foundation pouring,Building,m3,1251.4367189047493
2025-03-21,Removing trees,Building,m2,3462.7351501055236
2025-02-14,Foundation pouring,Building,m3,3453.023455478896
2025-12-11,Laying steel rail,Railway,m,4743.636883377983
2025-06-30,Terrain leveling,Building,m3,1419.1272885678013
2025-05-25,Anchorage,Railway,m2,3436.994156206215
2025-01-16,Walling,Building,m2,1313.7353658242346
2025-07-09,Pavement,Road,m2,4351.508941021134
2025-11-20,Cement making,Building,m3,1541.1103917213793
2025-10-20,Anchorage,Railway,m2,4714.637664251682
2025-06-12,Laying steel rail,Railway,m,1606.9943154899247
2025-05-31,Coat preparation,Road,L,2151.329868840278
2025-09-15,Subbase application,Road,m2,3619.643163149216
2025-08-29,Walling,Building,m2,894.9119428493518
2025-04-23,Coat preparation,Road,L,4501.577153524369
2025-07-28,Laying steel rail,Railway,m,2485.4013326892314
2025-05-17,Anchorage,Railway,m2,864.782220395685
2025-11-06,Cement making,Building,m3,2107.8665926546464
2025-06-14,Pavement,Road,m2,4728.62252516314
2025-07-18,Rolling/Tractor,Road,m2,4583.115774605781
2025-12-21,Pavement,Road,m2,3124.85215446639
2025-03-29,Coat preparation,Road,L,787.3893305495338
2025-09-24,Foundation pouring,Building,m3,1541.1783029440596
2025-01-05,Ballast,Railway,m3,2123.608655752515
2025-05-21,Iron mining,Railway,m3,1866.5181578992308
2025-07-04,Ballast,Railway,m3,255.2192249495422
2025-02-14,Rolling/Tractor,Road,m2,1389.473898890748
2025-08-09,Anchorage,Railway,m2,2040.2829433521986
2025-01-19,Ballast,Railway,m3,2698.083212061166
2025-08-13,Coat preparation,Road,L,4848.08650252587
2025-07-20,Anchorage,Railway,m2,4374.3879685499305
2025-06-23,Laying steel rail,Railway,m,4817.41920913065
2025-02-01,Rolling/Tractor,Road,m2,1872.0156417503613
2025-07-12,Subbase application,Road,m2,1223.4453618061198
2025-03-15,Coat preparation,Road,L,4218.3401768671165
2025-04-16,Iron mining,Railway,m3,2791.779455029581
2025-08-22,Removing trees,Building,m2,3363.8439449957714
2025-02-05,Subbase application,Road,m2,4351.338919181819
2025-10-18,Anchorage,Railway,m2,4388.338562844155
2025-01-01,Subbase application,Road,m2,2703.5603032143094
2025-04-14,Foundation pouring,Building,m3,4.439548386319103
2025-02-22,Rolling/Tractor,Road,m2,3540.753537106675
2025-07-27,Foundation pouring,Building,m3,120.17957053971628
2025-08-23,Removing trees,Building,m2,3941.2439565902687
2025-08-17,Subbase application,Road,m2,741.3393079233971
2025-10-24,Cement making,Building,m3,3658.390793296914
2025-06-26,Pavement,Road,m2,2425.79814307858
2025-08-24,Coat preparation,Road,L,4593.8421448429235
2025-05-28,Subbase application,Road,m2,1422.1457718655156
2025-12-29,Foundation pouring,Building,m3,4476.107231887375
2025-10-01,Laying steel rail,Railway,m,717.5288651456029
2025-11-09,Walling,Building,m2,3561.7242020448607
2025-11-02,Subbase application,Road,m2,3529.172524393706
2025-06-05,Rolling/Tractor,Road,m2,1830.3392793246899
2025-09-13,Foundation pouring,Building,m3,453.5425186265102
2025-05-22,Pavement,Road,m2,3583.6624948992117
2025-05-21,Pavement,Road,m2,4049.385438535783
2025-06-09,Rolling/Tractor,Road,m2,2992.6538891161367
2025-09-03,Subbase application,Road,m2,1197.983914048456
2025-09-22,Subbase application,Road,m2,2112.9284821333295
2025-08-23,Foundation pouring,Building,m3,137.32622297842278
2025-11-10,Anchorage,Railway,m2,335.13446761025966
2025-11-29,Terrain leveling,Building,m3,3697.3413525900487
2025-03-13,Terrain leveling,Building,m3,4519.214195131907
2025-10-20,Terrain leveling,Building,m3,4421.083682000547
2025-08-18,Walling,Building,m2,2027.6312706402205
2025-02-21,Walling,Building,m2,2001.3395667647333
2025-11-21,Terrain leveling,Building,m3,2105.8508946958937
2025-10-09,Cement making,Building,m3,712.5131377551036
2025-10-06,Rolling/Tractor,Road,m2,1125.9782068049162
2025-01-08,Subbase application,Road,m2,3302.1512832486515
2025-07-03,Pavement,Road,m2,913.2411067115709
2025-11-20,Rolling/Tractor,Road,m2,512.7874428819596
2025-04-25,Cement making,Building,m3,1.0945241702375874
2025-08-26,Coat preparation,Road,L,4029.9850085771686
2025-03-04,Cement making,Building,m3,1229.6172369076057
2025-03-19,Terrain leveling,Building,m3,3052.993491917462
2025-07-12,Ballast,Railway,m3,618.4651689105791
2025-11-30,Pavement,Road,m2,826.1109722261644
2025-07-16,Ballast,Railway,m3,2149.183476796719
2025-03-21,Rolling/Tractor,Road,m2,676.8750628729414
2025-02-21,Removing trees,Building,m2,2705.807644816956
2025-07-11,Walling,Building,m2,4316.146484946765
2025-07-18,Cement making,Building,m3,405.39310376061786
2025-01-06,Coat preparation,Road,L,2158.9506139716345
2025-01-16,Ballast,Railway,m3,1343.8107821062795
2025-09-13,Walling,Building,m2,2126.930397176845
2025-03-10,Anchorage,Railway,m2,3063.560399030637
2025-04-03,Walling,Building,m2,4056.12187680686
2025-12-02,Foundation pouring,Building,m3,2980.6437793817963
2025-06-12,Subbase application,Road,m2,329.5720847698941
2025-08-18,Anchorage,Railway,m2,4482.199223071634
2025-05-17,Coat preparation,Road,L,4414.519632859669
2025-07-18,Anchorage,Railway,m2,4305.509706559829
2025-09-11,Anchorage,Railway,m2,4449.26992916697
2025-05-02,Ballast,Railway,m3,4246.428484348043
2025-01-22,Walling,Building,m2,4095.7155780651606
2025-04-07,Terrain leveling,Building,m3,1819.8366795599902
2025-11-18,Terrain leveling,Building,m3,2359.252604601325
2025-09-18,Removing trees,Building,m2,4539.4766172269065
2025-05-24,Ballast,Railway,m3,3647.5634464257396
2025-03-28,Foundation pouring,Building,m3,1316.7668334207488
2025-11-30,Terrain leveling,Building,m3,1771.7009537590045
2025-12-01,Cement making,Building,m3,2649.765190322947
2025-10-10,Terrain leveling,Building,m3,3024.814853246523
2025-05-09,Walling,Building,m2,820.4291306146994
2025-01-21,Foundation pouring,Building,m3,4652.771267991741
2025-09-08,Cement making,Building,m3,2011.246808206783
2025-04-02,Walling,Building,m2,2563.2874195521995
2025-06-29,Walling,Building,m2,2846.04757418856
2025-10-05,Laying steel rail,Railway,m,4721.84309168719
2025-02-23,Removing trees,Building,m2,3343.61618620718
2025-10-07,Rolling/Tractor,Road,m2,1428.7457692230287
2025-11-28,Terrain leveling,Building,m3,2120.259506841081
2025-05-06,Foundation pouring,Building,m3,2246.8769553599122
2025-06-01,Rolling/Tractor,Road,m2,1096.7095443434694
2025-10-18,Terrain leveling,Building,m3,4297.790172877722
2025-11-16,Laying steel rail,Railway,m,3148.0882658125124
2025-12-06,Laying steel rail,Railway,m,2618.271976052792
2025-06-22,Coat preparation,Road,L,4509.854196062566
2025-06-21,Anchorage,Railway,m2,3282.928328172713
2025-08-03,Walling,Building,m2,3228.833211701176
2025-04-23,Terrain leveling,Building,m3,1672.874053824212
2025-05-27,Walling,Building,m2,2172.122110514012
2025-10-21,Anchorage,Railway,m2,87.64046556143545
2025-04-18,Anchorage,Railway,m2,707.7133469581498
2025-12-03,Subbase application,Road,m2,1447.7897734543515
2025-06-20,Iron mining,Railway,m3,4013.390597034255
2025-05-15,Laying steel rail,Railway,m,3069.628530530754
2025-04-16,Foundation pouring,Building,m3,403.4195206492369
2025-10-07,Iron mining,Railway,m3,4970.4229491143005
2025-10-26,Pavement,Road,m2,168.80474913182786
2025-04-21,Foundation pouring,Building,m3,301.57660168271536
2025-11-30,Walling,Building,m2,3273.799199474208
2025-08-04,Laying steel rail,Railway,m,2836.654156867614
2025-08-04,Coat preparation,Road,L,2140.684644717892
2025-08-30,Walling,Building,m2,2848.6279516667505
2025-03-11,Terrain leveling,Building,m3,472.72091980451904
2025-07-29,Anchorage,Railway,m2,2693.345498333459
